"1;A-Bomb;38;100;17;80;24;64;Richard Milhouse Jones;No alter egos found.;Rick Jones;Scarsdale; Arizona;Hulk Vol 2 #2 (April; 2008) (as A-Bomb);Marvel Comics;good;Male;Human;6'8;203 cm;980 lb;441 kg;Yellow;No Hair;Musician; adventurer;
"19;Allan Quatermain;0;0;0;0;0;0;;No alter egos found.;-;-;(original version) King Solomon's Mines"	" (this version) League of Extraordinary Gentlemen #1 (America's Best Comics);Wildstorm;good;Male;0;-;0 cm;- lb;0 kg;-;-;(former) hunter"	" (current) agent of the British government;The Secret Wing of the British Museum; London;League of Extraordinary Gentlemen;
"20;Amazo;63;100;83;100;100;100;;No alter egos found.;Professor Ivos Amazing Android;-;Brave and the Bold #30 (July; 1960);DC Comics;bad;Male;Android;8'5;257 cm;385 lb;173 kg;Red;-;-;-;Formerly the Secret Society of Super Villains;
"21;Ammo;0;0;0;0;0;0;;No alter egos found.;-;-;Daredevil #252 (March; 1988);Marvel Comics;bad;Male;Human;6'2;188 cm;225 lb;101 kg;Brown;Black;Gang leader ; criminal ; former soldier;
"22;Ando Masahashi;0;0;0;0;0;0;Ando Masahashi;No alter egos found.;Huggerz69;-;-;NBC - Heroes;good;Male;0;-;0 cm;- lb;0 kg;-;-;Yamagato Industries computer programmer;-;-;-;
"23;Angel;75;30;58;90;100;75;Liam;No alter egos found.;Angelus;-;-;Dark Horse Comics;good;Male;Vampire;-;0 cm;- lb;0 kg;-;-;-;-;-;Kathy (sister);
"24;Angel;63;13;46;64;28;42;Warren Kenneth Worthington III;Archangel;Formerly Death;Centerport; Long Island; New York;X-Men #54-56 (1969);Archangel;good;Male;0;6'0;183 cm;150 lb;68 kg;Blue;Blond;Adventurer; chairman & principal stockholder of Worthington Industries;
"25;Angel Dust;38;55;23;42;17;30;Christina;No alter egos found.;Angel;-;Morlocks #1;Marvel Comics;good;Female;Mutant;5'5;165 cm;126 lb;57 kg;Yellow;Black;-;Chicago; Illinois;-;
"26;Angel Salvadore;38;10;28;28;56;60;Angel Salvadore Bohusk;Tempest;Tempest;-;New X-Men #118 (November; 2001);Tempest;good;Female;0;5'4;163 cm;121 lb;54 kg;Brown;Black;-;-;Formerly New Warriors"	" Special Class;
27;Angela;0;97;0;0;0;0;;No alter egos found.;-;-;-;Image Comics;bad;Female;0;-;0 cm;- lb;0 kg;-;-;-;-;-;-;
"28;Animal Man;56;48;47;85;73;80;Bernhard Baker;No alter egos found.;The Human Zoo"	 A-Man	" The Man with Animal Powers;-;Strange Adventures #180 (September; 1965);DC Comics;good;Male;Human;6'0;183 cm;185 lb;83 kg;Blue;Blond;-;San Diego; California;
"29;Annihilus;75;80;47;56;59;64;Annihilus;No alter egos found.;The Living Death That Walks;Planet of Arthros; Sector 17A; Negative Zone;Fantastic Four Annual #6 (1968);Marvel Comics;bad;Male;0;5'11;180 cm;200 lb;90 kg;Green;No Hair;Conqueror; scavenger;
"30;Ant-Man;100;18;23;28;32;32;Hank Pym;Giant-Man; Goliath; Wasp II; Yellowjacket;Hank Pym;Elmsford; New York;Tales to Astonish #27 (January; 1962) (as Hank Pym)  Tales to Astonish #35 (September; 1962) (as Ant-Man);Giant-Man;good;Male;Human;6'11;211 cm;270 lb;122 kg;
"31;Ant-Man II;75;18;17;40;53;30;Scott Lang;No alter egos found.;Myrmidon;Coral Gables; Florida;Avengers Vol 1 #181 (March; 1979);Marvel Comics;good;Male;Human;6'0;183 cm;190 lb;86 kg;Blue;Blond;Electronics Technician;;
"32;Anti-Monitor;88;100;50;100;100;90;;No alter egos found.;Monitor;Moon of Qward;Crisis on Infinite Earths #4;DC Comics;bad;Male;God / Eternal;200;61.0 meters;- lb;0 kg;Yellow;No Hair;-;Qward; Antimatter Universe;Sinestro Corps;
"33;Anti-Spawn;0;58;0;0;0;0;Jason Wynn;No alter egos found.;Redeemer;-;Spawn #16;Image Comics;bad;Male;0;-;0 cm;- lb;0 kg;-;-;-;-;-;-;
"34;Anti-Venom;75;60;65;90;96;84;Eddie Brock;Toxin; Venom;Eddie;San Francisco; California;Amazing Spider-Man #569 (as Anti-Venom);Toxin;-;Male;Symbiote;7'6;229 cm;795 lb;358 kg;Blue;Blond;Vigilante"	" former journalist for the Daily Globe;New York;
"35;Apocalypse;100;100;33;100;100;60;En Sabah Nur;No alter egos found.;The Eternal One;Akkaba; Egypt;X-Factor #5 (June; 1986);Marvel Comics;bad;Male;Mutant;7'0;213 cm;300 lb;135 kg;Red;Black;Student"	 formerly Conqueror	" Scientist;Celestial Ship;
"36;Aquababy;10;16;12;14;37;14;Arthur Curry; Jr.;No alter egos found.;-;-;Aquaman #23 (October; 1965);DC Comics;good;Male;0;-;0 cm;- lb;0 kg;Blue;Blond;-;Atlantis;
"37;Aqualad;63;44;42;75;89;60;Garth;No alter egos found.;-;Poseidonis; Atlantis;Adventure Comics #269 (February; 1960);DC Comics;good;Male;Atlantean;5'10;178 cm;235 lb;106 kg;Blue;Black;Adventurer"	" Magician; former Sidekick;
"38;Aquaman;81;85;79;80;100;80;Orin;No alter egos found.;Dweller in the Depths;Atlantis;More Fun Comics #73 (November; 1941);DC Comics;good;Male;Atlantean;6'1;185 cm;325 lb;146 kg;Blue;Blond;Protector of the Seas and Oceans; King of Poseidonis;Atlantean Royal Palace"	" Poseidonis;
"39;Arachne;50;48;50;70;71;70;Julia Carpenter;No alter egos found.;Spider-Woman;Los Angeles; California;Marvel Super Heroes Secret Wars #6;Marvel Comics;good;Female;Human;5'9;175 cm;140 lb;63 kg;Blue;Blond;Adventurer; fugitive; former government agent;
"40;Archangel;63;13;58;64;35;42;Warren Kenneth Worthington III;Angel;War;Centerport; Long Island; New York;X-Men #1 (September; 1963);Angel;good;Male;Mutant;6'0;183 cm;150 lb;68 kg;Blue;Blond;Adventurer;
"41;Arclight;38;63;23;42;52;70;Philippa Sontag;No alter egos found.;-;Vietnam;(In shadow) Uncanny X-Men #210 (1986); (fully) X-Factor #10 (1986);Marvel Comics;bad;Female;0;5'8;173 cm;126 lb;57 kg;Violet;Purple;Terrorist;-;Marauders formerly;
"42;Ardina;63;100;100;80;100;25;Ardina;No alter egos found.;-;-;The Order #4;Marvel Comics;good;Female;Alien;6'4;193 cm;218 lb;98 kg;White;Orange;-;-;-;Norrin Radd (Silver Surfer;
"43;Ares;75;82;35;80;84;101;;No alter egos found.;God of War;-;Thor #129;Marvel Comics;good;Male;0;6'1;185 cm;600 lb;270 kg;Brown;Brown;-;Avengers Tower; formerly Olympus;Avengers;
"44;Ariel;50;10;12;14;94;28;Ariel;No alter egos found.;-;-;Fallen Angels #1 (1987);Marvel Comics;good;Female;0;5'5;165 cm;130 lb;59 kg;Purple;Pink;Leader; refugee alien"	" former alien mutant-hunter and hedonist;-;X-Men;
"45;Armor;50;63;12;80;55;54;Hisako Ichiki;No alter egos found.;X-Girl;-;Astonishing X-Men #4 (2004);Marvel Comics;good;Female;0;5'4;163 cm;112 lb;50 kg;Black;Black;Adventurer; student;-;X-Men;
"46;Arsenal;0;54;0;0;0;0;Roy William Harper; Jr.;Speedy;-;-;-;Speedy;good;Male;Human;-;0 cm;- lb;0 kg;-;-;-;-;-;
"47;Astro Boy;0;90;0;0;0;0;Atom;No alter egos found.;-;-;-;0;good;Male;0;-;0 cm;- lb;0 kg;Brown;Black;-;-;-;-;
"48;Atlas;63;80;25;100;98;50;Erik Josten;Goliath; Power Man; Smuggler;Power Man;Milwaukee; Wisconsin;Incredible Hulk #449;Goliath;good;Male;Mutant;6'0;183 cm;225 lb;101 kg;Brown;Red;Adventurer"	" former professional criminal;
"49;Atlas;63;100;42;100;27;80;;No alter egos found.;Atlas the Great;Crystal Mountain;Action Comics #121;DC Comics;bad;Male;God / Eternal;6'6;198 cm;280 lb;126 kg;Blue;Brown;-;Formely"	" Hyssa; Metropolis;-;
"50;Atom;0;0;0;0;0;0;Albert Pratt;No alter egos found.;Little Superman;-;All American Comics #19;DC Comics;good;Male;0;5'10;178 cm;150 lb;68 kg;Blue;Red;Adventurer; Retired Professor of Nuclear Physics;GBS Building; Gotham City (former) Calvin College on Earth-Two;
"51;Atom;0;0;0;0;0;0;;No alter egos found.;-;-;-;DC Comics;good;Male;0;-;0 cm;- lb;0 kg;-;-;-;-;-;-;
"52;Atom Girl;38;10;23;28;38;42;Salu Digby;No alter egos found.;Shrinking Violet;-;Teen Titans/Legion Special #1 (2004);DC Comics;good;Female;0;5'6;168 cm;120 lb;54 kg;Black;Black;-;United Planets; 31st century;Legion of Super-Heroes;
"53;Atom II;88;10;33;45;40;60;Ray Palmer;No alter egos found.;The Mighty Mite;-;Showcase #34;DC Comics;good;Male;Human;6'0;183 cm;180 lb;81 kg;Brown;Auburn;Physics Professor;Ivy Town;Justice League of America; formerly"	" Suicide Squad;
"54;Atom III;0;0;0;0;0;0;Adam Cray;No alter egos found.;-;-;Suicide Squad (Volume 1) #44;DC Comics;good;Male;0;-;0 cm;- lb;0 kg;-;Red;-;-;Suicide Squad;Senator Cray (father;
"55;Atom IV;0;0;0;0;0;0;Ryan Choi;No alter egos found.;-;-;Brave New World #1;DC Comics;good;Male;0;-;0 cm;160 lb;72 kg;Brown;Black;Professor of nuclear physics at Ivy University;Ivy Town;Lighter Than Air Society;Professor Choi (father)"	 mother (deceased)	 sister (unnamed)	" Jia Choi (descendent).;
"56;Aurora;63;10;96;60;74;56;Jeanne-Marie Beaubier;No alter egos found.;Sister Beaubier;Montreal; Quebec; Canada;X-Men #121 (1979);Marvel Comics;good;Female;Mutant;5'11;180 cm;140 lb;63 kg;Blue;Black;Adventurer"	" former terrorist; nun;
"57;Azazel;50;11;47;95;100;80;;No alter egos found.;Semihazah;Isla des Demonas; Caribbean Sea;Uncanny X-Men #428 (2003);Marvel Comics;bad;Male;Neyaphem;6'0;183 cm;149 lb;67 kg;Yellow;Black;Leader of the Neyaphem;Brimstone Dimension"	" formerly La Isla des Demonas; Bermuda;
"58;Azrael;63;18;17;20;35;80;Michael Washington Lane;No alter egos found.;Bat-Devil"	" Bat-Ghost;Gotham City;Batman #672 (February; 2008);DC Comics;good;Male;Human;-;0 cm;- lb;0 kg;Brown;Black;Former Police Officer; vigilante;-;
"59;Aztar;0;98;0;0;0;0;Aztar;Spectre;Spirit of Vengeance;-;More Fun Comics #52 (February 1940);Spectre;good;Male;0;-;0 cm;- lb;0 kg;-;-;-;-;The Presence;-;
"60;Bane;88;38;23;56;51;95;;No alter egos found.;-;-;Batman: Vengeance of Bane #1 (January; 1993);DC Comics;bad;Male;Human;6'8;203 cm;400 lb;180 kg;-;-;-;Santa Prisca;Suicide Squad;
"61;Banshee;50;10;58;40;63;70;Sean Cassidy;No alter egos found.;Death;Cassidy Keep; Ireland;X-Men #28 (January; 1967);Marvel Comics;good;Male;Human;6'0;183 cm;170 lb;77 kg;Green;Strawberry Blond;Currently founder and director of operation for X-Corps; formerly Adventurer and Headmaster at the Massachusetts Academy;
"62;Bantam;25;53;23;54;21;56;Roberto Velasquez;No alter egos found.;-;-;Civil War: Front Line #3 (September; 2006);Marvel Comics;good;Male;0;5'5;165 cm;119 lb;54 kg;Brown;Black;Adventurer; boxing trainer; former boxer;
"63;Batgirl;88;11;33;40;34;90;Barbara Gordon;Oracle;Oracle;-;Detective Comics #359;Oracle;good;Female;Human;5'7;170 cm;126 lb;57 kg;Green;Red;-;Gotham City; formerly Metropolis; Platinum Flats;
"64;Batgirl;0;27;0;0;0;0;Mary Elizabeth Kane;Hawkfire;Bette Kane;-;Batman #139;Hawkfire;good;Female;0;-;0 cm;- lb;0 kg;-;-;Crime-fighter;Gotham City;Former associated partner of Batman and Robin of Earth-One"	" Partner of Katherine Kane;Katherine Kane (Batwoman I;
"65;Batgirl III;0;43;0;0;0;0;Helena Rosa Bertinelli;Huntress;-;-;-;Huntress;good;Female;0;-;0 cm;- lb;0 kg;-;-;-;-;-;-;
"66;Batgirl IV;69;12;27;56;46;100;Cassandra Cain;No alter egos found.;Kasumi;League of Assassins (exact base is unknown);Batman: Legends of the Dark Knight #120;DC Comics;good;Female;Human;5'5;165 cm;115 lb;52 kg;Green;Black;-;Gotham City"	 Bl?dhaven	 Tibet	" New York City;Titans East; League of Assassins;
"67;Batgirl V;0;0;0;0;0;0;Charlotte Gage-Radcliffe;Misfit;-;-;-;Misfit;good;Female;0;-;0 cm;- lb;0 kg;-;-;-;-;-;-;
"68;Batgirl VI;75;10;23;28;22;80;Stephanie Brown;Spoiler;Steph;-;Detective Comics #647. As Batgirl in Batgirl (Volume 3) #1. (2009);Spoiler;good;Female;0;5'6;168 cm;135 lb;61 kg;Blue;Blond;College student at Gotham University;Gotham Heights; Gotham City;The Batman Family;
"69;Batman;81;40;29;55;63;90;Terry McGinnis;No alter egos found.;Batman II;Gotham City; 25th Century;Batman Beyond #1;DC Comics;good;Male;Human;5'10;178 cm;170 lb;77 kg;Blue;Black;-;21st Century Gotham City;Batman Family;
"70;Batman;100;26;27;50;47;100;Bruce Wayne;No alter egos found.;Insider;Crest Hill; Bristol Township"	" Gotham County;Detective Comics #27;DC Comics;good;Male;Human;6'2;188 cm;210 lb;95 kg;blue;black;Businessman;Batcave; Stately Wayne Manor;
"71;Batman II;88;11;33;28;36;100;Dick Grayson;Nightwing; Robin;Dick Grayson;-;-;Nightwing;good;Male;Human;5'10;178 cm;175 lb;79 kg;Blue;Black;-;Gotham City"	" formerly Bludhaven; New York City;
"72;Battlestar;50;53;35;74;48;74;Lemar Hoskins;No alter egos found.;Bucky;Chicago; Illinois;Captain America #323 (1986)"	" (as Bucky);Marvel Comics;good;Male;0;6'6;198 cm;295 lb;133 kg;Brown;Black;Former wrestler; federal operative;-;
"73;Batwoman V;81;8;29;25;27;80;Katherine Rebecca Kane;No alter egos found.;-;-;52 #7 (June; 2006);DC Comics;good;Female;Human;5'10;178 cm;- lb;0 kg;Green;Red;-;Gotham City;Batman Family (unofficially);
"74;Beak;0;0;0;0;0;0;Barnell Bohusk;No alter egos found.;Blackwing;Cheverly; Maryland;-;Marvel Comics;good;Male;0;5'9;175 cm;140 lb;63 kg;Black;White;-;-;Formerly New Warriors;
"75;Beast;94;48;38;60;43;85;Henry Philip McCoy;No alter egos found.;Dr. McCoy;Dunfee; Illinois;X-MEN Vol. 1 #1; (in furry ape form) AMAZING ADVENTURES #11; (in current feline form) NEW X-MEN Vol. 1 #114;Marvel Comics;good;Male;Mutant;5'11;180 cm;402 lb;181 kg;Blue;Blue;Biochemist;
"76;Beast Boy;50;28;50;70;79;40;Garfield Mark Logan;No alter egos found.;Changeling;-;Doom Patrol #99 (November; 1965);DC Comics;good;Male;Human;5'8;173 cm;150 lb;68 kg;Green;Green;Adventurer; Struggling Actor;Prague"	" formerly Hollywood;
"77;Beetle;0;54;0;0;0;0;;No alter egos found.;-;-;-;Marvel Comics;bad;Male;0;-;0 cm;- lb;0 kg;-;-;-;-;-;-;
"78;Ben 10;10;7;8;10;90;40;Benjamin Kirby Tennyson;No alter egos found.;Ben Ten;-;Ben 10 S01E01;DC Comics;good;Male;0;-;0 cm;- lb;0 kg;-;-;-;-;-;-;
"79;Beta Ray Bill;63;80;35;95;100;84;Beta Ray Bill (translation of his Korbinite name);No alter egos found.;Beta Ray Thor;Burning Galaxy;Thor #337;Marvel Comics;good;Male;0;6'7;201 cm;480 lb;216 kg;-;No Hair;Guardian of the Korbinite race;currently New York City; formerly Asgard; formerly the fleet of Korbinite ships.;
"80;Beyonder;100;100;100;100;100;84;;No alter egos found.;Ataxi;Created in the Beyond;Marvel Super-Heroes Secret Wars #1;Marvel Comics;good;Male;God / Eternal;-;0 cm;- lb;0 kg;-;-;Former student;-;Was once in a merged form with the Molecule Man but is no longer merged with him.;-;
"81;Big Barda;88;100;79;100;100;100;Barda Free;No alter egos found.;Barda;-;Mister Miracle (Volume 1) #4;DC Comics;bad;Female;New God;6'2;188 cm;300 lb;135 kg;Blue;Black;-;Gotham City; New Genesis; formerly Apokolips;
"82;Big Daddy;38;10;12;32;22;64;Damon Macready;No alter egos found.;-;-;Kick-Ass #4;Icon Comics;good;Male;0;-;0 cm;- lb;0 kg;-;-;-;-;-;Hit-Girl (daughter);
"83;Big Man;75;12;23;28;19;70;Frederick Foswell;No alter egos found.;Patch;-;Amazing Spider-Man # 10 (1964);Marvel Comics;bad;Male;0;5'5;165 cm;157 lb;71 kg;Blue;Brown;Reporter; professional criminal;-;Daily Bugle;
"84;Bill Harken;63;36;33;60;27;40;;No alter egos found.;-;-;-;SyFy;good;Male;Alpha;-;0 cm;- lb;0 kg;-;-;-;-;Alphas;-;
"85;Billy Kincaid;0;0;0;0;0;0;Billy Kincaid;No alter egos found.;-;-;Spawn #5 (October 1992);Image Comics;bad;Male;0;-;0 cm;- lb;0 kg;-;-;-;-;-;-;
"86;Binary;0;0;0;0;0;0;Carol Danvers;Captain Marvel; Warbird;Ms. Marvel;Boston; Massachusetts;(as Carol Danvers) MARVEL SUPER HEROES #13; (as Ms. Marvel) MS. MARVEL #1; (as Binary) X-MEN # 164; AVENGERS Vol. 3; # 4;Captain Marvel;good;Female;0;5'11;180 cm;120 lb;54 kg;
"87;Bionic Woman;56;37;33;40;20;40;Jamie Sommers;No alter egos found.;Clarissa Whyte;-;-;;good;Female;Cyborg;-;0 cm;- lb;0 kg;Blue;Black;-;-;-;-;
"88;Bird-Brain;25;10;35;28;21;42;;No alter egos found.;Bird-Boy;-;The New Mutants #56 (October; 1987);Marvel Comics;good;-;0;-;0 cm;- lb;0 kg;-;-;-;-;New Mutants;
"89;Bird-Man;0;0;0;0;0;0;Henry Hawk;No alter egos found.;-;-;Daredevil #10 (October; 1965);Marvel Comics;bad;Male;Human;-;0 cm;- lb;0 kg;-;-;-;-;Ani-Men;
"90;Bird-Man II;0;0;0;0;0;0;Achille DiBacco;No alter egos found.;-;The Bar with No Name; Medina County; Ohio;Daredevil #157 (March; 1979);Marvel Comics;bad;Male;Human;-;0 cm;- lb;0 kg;-;-;-;
"91;Birdman;0;35;0;0;0;0;Ray Randal;No alter egos found.;Bird-Man;-;Birdman and the Galaxy Trio (1967);Hanna-Barbera;good;Male;God / Eternal;-;0 cm;- lb;0 kg;-;-;-;-;-;-;
"92;Bishop;63;14;23;75;100;65;Lucas Bishop;No alter egos found.;Archbishop;A mutant relocation camp in an undisclosed location on an alternate 21st Century Earth;Uncanny X-Men #282 (November; 1991);Marvel Comics;good;Male;Mutant;6'6;198 cm;275 lb;124 kg;Brown;No Hair;(current) Adventurer; (former) Commander in the XSE (Xavier's Security Enforcers);Formerly Xavier Institute for Higher Learning;
93;Bizarro;38;95;100;100;100;85;Bizarro;No alter egos found.;-;-;Superboy Vol. 1 #68 (1958);DC Comics;neutral;Male;Bizarro;6'3;191 cm;345 lb;155 kg;Black;Black;-;Bizarro World;Superman Revenge Squad"	 Bizarros of Bizarro World	 former associate of the Secret Society of Super-Villains	 Joker League of Anarchy	" former partner of Batzarro;Bizarro-Lois No. 1 (wife;
"94;Black Abbott;0;0;0;0;0;0;;No alter egos found.;Lord Abbott;-;Marvel Team Up #146 (1984);Marvel Comics;bad;Male;0;-;0 cm;- lb;0 kg;Red;Black;Cult leader; former monk;-;-;
"95;Black Adam;88;100;92;100;100;56;Teth-Adam;No alter egos found.;Hassan Bari;Kahndaq; Egypt;Marvel Family #1 (December; 1945);DC Comics;bad;Male;0;6'3;191 cm;250 lb;113 kg;Brown;Black;-;Mobile"	 Formerly Kahndaq	 Fawcett City	" New York City;
"96;Black Bolt;75;67;100;84;100;56;Blackagar Boltagon;No alter egos found.;-;Attilan; Atlantic Ocean;Fantastic Four #45 (December; 1965);Marvel Comics;good;Male;Inhuman;6'2;188 cm;210 lb;95 kg;Blue;Black;King of the Inhumans;Attilan;
"97;Black Canary;63;8;33;20;52;80;Laurel Lance;No alter egos found.;Dinah Laurel Lance Queen"	" Dinah Laurel Lance-Windrow;-;Justice League of America (Volume 1) #75;DC Comics;good;Female;Metahuman;5'7;170 cm;130 lb;59 kg;Blue;Blond;Detective/Crime-fighter; Chairperson of the Justice League of America"	" former florist; judo instructor;Formerly Oracle's clock tower in Gotham City"	" formerly Seattle;
"98;Black Canary;63;8;33;15;45;80;Dinah Drake Lance;No alter egos found.;-;-;Flash Comics #86 (August; 1947);DC Comics;good;Female;Human;5'5;165 cm;128 lb;58 kg;Blue;Blond;Florist; former private investigator;Gotham City;
"99;Black Cat;75;16;33;10;23;70;Felicia Hardy;No alter egos found.;Felicity Harmon;Queens; New York;Amazing Spider-Man #194 (July; 1979);Marvel Comics;good;Female;Human;5'10;178 cm;120 lb;54 kg;Green;Blond;Cat burglar"	" Private investigator; founder of Cat's Eye Investigations.;
"100;Black Flash;44;10;100;80;100;30;;No alter egos found.;Barry Allen;-;Flash Vol 2 #138;DC Comics;neutral;Male;God / Eternal;-;0 cm;- lb;0 kg;-;-;-;-;-;-;
"101;Black Goliath;0;0;0;0;0;0;;No alter egos found.;-;-;-;Marvel Comics;good;Male;0;-;0 cm;- lb;0 kg;-;-;-;-;-;-;
"102;Black Knight III;63;10;8;70;43;70;Dane Whitman;No alter egos found.;The Pendragon;Gloucester; Massachusetts;Avengers #47 (1967);Marvel Comics;good;Male;Human;6'0;183 cm;190 lb;86 kg;Brown;Brown;Adventurer; scientist"	" former crusader;-;
"103;Black Lightning;50;11;53;28;70;75;Jefferson Pierce;No alter egos found.;-;-;Black Lightning #1 (April 1977);DC Comics;good;Male;0;6'1;185 cm;200 lb;90 kg;Brown;No Hair;Crime Fighter; High School teacher; Former gold-medal-winning Olympic Decathlete; formerly Secretary of Education under Presidents Pete Ross and Lex Luthor.;
"104;Black Mamba;75;10;35;42;88;65;Tanya Sealy;No alter egos found.;Tanya Sweet;Chicago; Illinois;Marvel Two-In-One #64;Marvel Comics;bad;Female;0;5'7;170 cm;115 lb;52 kg;Green;Black;Mercenary; professional criminal; former call girl;
"105;Black Manta;75;28;50;60;76;85;David;No alter egos found.;Devil Ray;-;Aquaman #35 (August; 1967);DC Comics;bad;Male;Human;6'2;188 cm;205 lb;92 kg;Black;No Hair;-;-;-;
"106;Black Panther;88;16;30;60;41;100;T'Challa;No alter egos found.;Mr. Okonkwo;Wakanda; Africa;Fantastic Four Vol. 1 #52 (1966);Marvel Comics;good;Male;Human;6'0;183 cm;200 lb;90 kg;Brown;Black;King and Chieftain of Wakanda; scientist"	" former school teacher;Wakanda;
"107;Black Widow;75;13;33;30;36;100;Natasha Romanoff;No alter egos found.;Yelena Belova;-;Tales of Suspense #52;Marvel Comics;good;Female;Human;5'7;170 cm;131 lb;59 kg;Green;Auburn;Adventurer; Intelligence agent; former ballerina;Mobile;
"108;Black Widow II;0;48;0;0;0;0;Yelena Belova;No alter egos found.;-;-;-;Marvel Comics;good;Female;0;5'7';170 cm;135 lb;61 kg;Blue;Blond;-;-;-;-;
